rgz_name,name
401,401.
402,402.
403,403.
404,404.
405,405.
406,406.
407,407.
408,408.
409,409.
410,410.
411,411.
412,412.
413,413.
414,414.
415,415.
416,416.
417,417.
418,418.
419,419.
420,420.
421,421.
422,422.
423,423.
424,424.
425,425.
426,426.
427,427.
428,428.
429,429.
 ЕЛЕЗНИЧКА,Железничка
 ТРГ ЦВЕЋА,Трг цвећа
 ФЕБРУАРСКИХ ЖРТАВА,Фебруарских жртава
1 МАЈА,1. маја
1 НОВА,1. нова
1 НОВЕМБАР,1. новембар
1 РЕОН,1. реон
1. АУТОДРОМСКА,1. аутодромска
1. ВОЈВОЂАНСКЕ БРИГАДЕ,1. војвођанске бригаде
1. ИНТЕРНАЦИОНАЛЕ,1. интернационале
1. КРАЈИШКА,1. крајишка
1. МАЈ,1. мај
1. НОВИ ПУТ,1. нови пут
1. ОКТОБРА,1. октобра
1. СЛАТИНСКА,1. слатинска
1. СРПСКОГ УСТАНКА,1. српског устанка
1. УСТАНКА,1. устанка
1. ШУМАДИЈСКЕ БРИГАДЕ,1. шумадијске бригаде
1.МАЈ,1. мај
1.МАЈА,1. маја
1.СРПСКОГ УСТАНКА,1. српског устанка
10 МАРТА,10. марта
10. ЈОВАЧКА,10. јовачка
10. КОВАНЛУЧКА,10. кованлучка
10. ОКТОБРА,10. октобра
10. СРПСКЕ УДАРНЕ БРИГАДЕ,10. српске ударне бригаде
10. ЧИБУКОВАЧКА,10. чибуковачка
10.ОКТОБРА,10. октобра
10.УДАРНЕ БРИГАДЕ,10. ударне бригаде
11. АУТОДРОМСКА,11. аутодромска
11. КОВАНЛУЧКА,11. кованлучка
11. КОНГРЕСА,11. конгреса
12 ЈУЛА,12. јула
12. АПРИЛА,12. априла
12. ВОЈВОЂАНСКЕ БРИГАДЕ,12. војвођанске бригаде
12. ЈОВАЧКА,12. јовачка
12. КОВАНЛУЧКА,12. кованлучка
12. КОРПУСА,12. корпуса
12. НОВА,12. нова
12. ОКТОБРА,12. октобра
12. СРПСКЕ БРИГАДЕ,12. српске бригаде
12.АПРИЛА,12. априла
12.ВОЈВОЂАНСКЕ БРИГАДЕ,12. војвођанске бригаде
12.ВОЈВОЂАНСКЕ УДАРНЕ БРИГАДЕ,12. војвођанске ударне бригаде
12.ЈУЛИ,12. јули
12.НОВА,12. нова
12.ОКТОБАРА,12. октобра
12.ОКТОБРА,12. октобра
12.УДАРНЕ БРИГАДЕ,12. ударне бригаде
13 . ОКТОБРА,13. октобра
13 ВОЈВОЂАНСКЕ БРИГАДЕ,13. војвођанске бригаде
13. ДЕЦЕМБАР,13. децембар
13. КОВАНЛУЧКА,13. кованлучка
13.ВОЈВОЂАНСКЕ БРИГАДЕ,13. војвођанске бригаде
13.ДЕЦЕМБАР,13. децембар
13.ЈУЛИ,13. јули
13.ПУК,13. пук
1300 КАПЛАРА 2.ПРИЛАЗ,1300 каплара 2. прилаз
1300. КАПЛАРА,1300 каплара
14 ВУСБ,14. војвођанске ударне словачке бригаде
14. КОВАНЛУЧКА,14. кованлучка
14.ВОЈВОЂАНСКЕ УДАРНЕ БРИГАДЕ,14. војвођанске ударне словачке бригаде
14.ВУСБ,14. војвођанске ударне словачке бригаде
14.СРПСКЕ УДАРНЕ БРИГАДЕ,14. српске ударне бригаде
15 НОВЕМБАР,15. новембар
15. АВГУСТА 1942.,15. августа 1942.
15. КОВАНЛУЧКА,15. кованлучка
15. МАЈА 1945.,15. маја 1945.
15. МАЈЕВИЧКЕ БРИГАДЕ,15. мајевичке бригаде
16 ВОЈВОЂАНСКЕ ДИВИЗИЈЕ,16. војвођанске дивизије
16 ДИВИЗИЈЕ,16. дивизије
"16, СРПСКЕ БРИГАДЕ",16. српске бригаде
16.ВОЈВОЂАНСКЕ УДАРНЕ ДИВИЗИЈЕ,16. војвођанске ударне бригаде
16.ЈУНА 1965.ГОДИНЕ,16. јуна 1965. године
16.ПУК,16. пук
16.СРПСКЕ БРИГАДЕ,16. српске бригаде
17 СРПСКИХ БРИГАДА,17 српских бригада
17.НОУ ДИВИЗИЈЕ,17. НОУ дивизије
17.НОУ ДИВИЗИЈЕ 1,17. НОУ дивизије 1
18. НОВЕМБРА 1941,18. новембра 1941.
1848. ГОДИНА,1848. година
19. ЈУЛИ,19. јули
19.СРПСКЕ УДАРНЕ БРИГАДЕ,19. српске ударне бригаде
2 ОКТОБРА,2. октобра
2 РЕОН,2. реон
2. АУТОДРОМСКА,2. аутодромска
2. ДАЛМАТИНСКЕ БРИГАДЕ,2. далматинске бригаде
2. ЈОВАЧКА,2. јовачка
2. ЈУЖНОБАНАТСКОГ НОП ОДРЕДА,2. јужнобанатског НОП одреда
2. КРАЈИШКА,2. крајишка
2. КРАЈИШКЕ БРИГАДЕ,2. крајишке бригаде
2. НОВИ ПУТ,2. нови пут
2. ПЕШАДИЈСКОГ ПУКА КЊАЗА МИХАЈЛА,2. пешадијског пука књаза Михајла
2. ПРОЛЕТЕРСКА ДИВИЗИЈА,2. пролетерска дивизија
2. СЛАТИНСКА,2. слатинска
2. СРПСКИ УСТАНАК,2. српски устанак
2. ЧИБУКОВАЧКА,2. чибуковачка
2.ОКТОБАР,2. октобар
2.ПРОЛЕТЕРСКЕ БРИГАДЕ,2. пролетерске бригаде
2.РАКОЦИ ФЕРЕНЦ,2. Ракоци Ференца
2.СРЕМСКОГ ОДРЕДА,2. сремског одреда
2.ШУМАДИЈСКИ ОДРЕД,2. шумадијски одред
20 ЈУЛИ,20. јули
20 ОКТОБРА,20. октобра
20.СРПСКЕ УДАРНЕ БРИГАДЕ,20. српске ударне бригаде
22 ДЕЦЕМБАР,22. децембар
22. ДЕЦЕМБРА 1941.,22. децембра 1941.
22. ОКТОБРА,22. октобра
22.УДАРНЕ ДИВИЗИЈЕ,22. ударне дивизије
23. СРПСКЕ ДИВИЗИЈЕ,23. српске дивизије
23. СРПСКЕ УДАРНЕ ДИВИЗИЈЕ,23. српске ударне дивизије
23. СРПСКЕ УДАРНЕ ДИВИЗИЈЕ 1 ПРИЛАЗ,23. српске ударне дивизије 1. прилаз
23.СРПСКЕ ДИВИЗИЈЕ,23. српске дивизије
24 ЈУЛИ,24. јули
25.СРПСКЕ ДИВИЗИЈЕ,25. српске дивизије
26. СРПСКЕ БРИГАДЕ,26. српске дивизије
26.ОКТОБРА,26. октобра
27. МАРТ,27. март
27. ОКТОБРА 1944.,27. октобра 1944.
27.МАРТ,27. март
27.СЕПТЕМБАРА,27. септембра
28 АВГУСТ,28. август
28 МАРТ,28. март
28 МАРТА,28. марта
28 НОВЕМБАР,28. новембра
28. АВГУСТА,28. августа
28.АВГУСТА,28. августа
28.СЛАВОНСКЕ ДИВИЗИЈЕ,28. славонске дивизије
29 НОВЕМБАР,29. новембар
29 НОВЕМБРА,29. новембра
29. НОВЕМБРА,29. новембра
29. ОКТОБРА,29. октобра
29.НОВЕМБАРА,29. новембра
29.ХЕРЦЕГОВАЧКЕ БРИГАДЕ,29. херцеговачке бригаде
3 РЕОН,3. реон
3. АУТОДРОМСКА,3. аутодромска
3. ВОЈВОЂАНСКЕ БРИГАДЕ,3. војвођанске бригаде
3. ЈОВАЧКА,3. јовачка
3. КОВАНЛУЧКА,3. кованлучка
3. КРАЈИШКЕ БРИГАДЕ,3. крајишке бригаде
3. НОВИ ПУТ,3. нови пут
3. ОКТОБРА,3. октобра
3. ПРЕКОМОРАВСКЕ ЧЕТЕ,3. прекоморавске чете
3. САНЏАЧКЕ БРИГАДЕ,3. санџачке бригаде
3. СРПСКЕ БРИГАДЕ,3. српске бригаде
3. ЧИБУКОВАЧКА,3. чибуковачка
30. ЈУЛИ,30. јули
300 КАРАЂОРЂЕВИХ УСТАНИКА,300 Карађорђевих устаника
359. НОВА,359. нова
36.ВОЈВОЂАНСКЕ УДАРНЕ ДИВИЗИЈЕ,36. војвођанске ударне дивизије
360. НОВА,360. нова
367. НОВА,367. нова
4 ДЕЦЕМБРА,4. децембра
4 ЈУЛА,4. јула
4 ЈУЛИ,4. јули
4 ОКТОБРА,4. октобра
4 РЕОН,4. реон
4 ФЛАВИЈЕВЕ ЛЕГИЈЕ,4. Флавијеве легије
4. ВОЈВОЂАНСКЕ БРИГАДЕ,4. војвођанске бригаде
4. ЈОВАЧКА,4. јовачка
4. ЈУЛИ,4. јули
4. КОВАНЛУЧКА,4. кованлучка
4. КОЊИЧКОГ ПУКА,4. коњичког пука
4. КРАЈИШКЕ БРИГАДЕ,4. крајишке бригаде
4. КРАЉЕВАЧКИ БАТАЉОН,4. краљевачки батаљон
4. НОВИ ПУТ,4. нови пут
4. ОКТОБРА,4. октобра
4. ЦРНОГОРСКА,4. црногорска
4. ЦРНОГОРСКЕ БРИГАДЕ,4. црногорске бригаде
4. ЧИБУКОВАЧКА,4. чибуковачка
4.ЈУЛИ,4. јули
4.ОКТОБРА,4. октобра
